name,email,niche,city,country,instagram,website,contactperson,contactrole
Slazenger Padel Clubs (Frasers Group),,franchise,London,UK,,slazengerpadel.com,,Head of Padel / Procurement — 11 venues planned 2026
The Padel Club,,franchise,Manchester,UK,,thepadelclub.com,,Founder / Ops Director — ~40 courts by end 2026
4PADEL,,franchise,Paris,FR,,4padel.fr,,Franchise Development — 14 new clubs by 2026 + Germany entry
Casa Padel,,franchise,Paris,FR,,casapadel.fr,,Franchise / Brand Manager
Plaza Padel,,franchise,Frankfurt,DE,,plazapadel.de,,Franchise Development
Racket Republic,,franchise,Munich,DE,,racketrepublic.de,,Founder / Expansion Lead
P1 Padel,,franchise,London,UK,,p1padel.com,,Franchise Director
Conquer Padel,,franchise,Tempe,US,,conquerpadel.com,,Franchise Development — US expansion signed NJ+Orlando
Club Pilates (Xponential),,franchise,Irvine,US,,clubpilates.com,,Intl Franchise Development — 1200+ locations global expansion
Jetset Pilates,,franchise,Miami,US,,jetsetpilates.com,,Franchise Development — 40+ locations fast growth
STRONG Pilates,,franchise,Melbourne,AU,,strongpilates.com.au,,Intl Expansion — 100+ studios entering UK/US
StretchLab (Xponential),,franchise,Irvine,US,,stretchlab.com,,Franchise Procurement
beem Light Sauna,,franchise,Chicago,US,,beemlightsauna.com,,Franchise Development — rapid expansion 2026
Perspire Sauna Studio,,franchise,Costa Mesa,US,,perspiresaunastudio.com,,Franchise Development — Trends breakout +500%
Ace Pickleball Club,,franchise,Roswell,US,,acepickleballclub.com,,Franchise Development — Trends breakout
Pickleball Kingdom,,franchise,Chandler,US,,pickleballkingdom.com,,Franchise Development — Trends +3100%
HYROX (event org),,franchise,Hamburg,DE,,hyrox.com,,Partnerships / Licensing — affiliate gym network play
Barry's,,franchise,London,UK,,barrys.com,,EU Retail / Merch Procurement
1Rebel,,franchise,London,UK,,1rebel.com,,Brand / Retail Manager
F45 Training,,franchise,Austin,US,,f45training.com,,EMEA Franchise Support — uniform supply at scale
